Non functional Log
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:43:09The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:43:38The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:44:18The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:45:37The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:19:19Remote IP Adress: ::1
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:19:37Remote IP Adress: ::1
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
 Datum/tijd: 15-Jun-2022 12:20:19 Remote IP Adress: ::1
 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
 Datum/tijd: 15-Jun-2022 12:20:46 Remote IP Adress: ::1
 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:24:18 Remote IP Adress: ::1	 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Date/Time( 15-Jun-2022 13:13:13 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:19:16 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:19:46 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:20:29 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:20:59 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:21:07 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:22:16 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:23:22 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:23:34 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:24:20 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:24:53 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:26:12 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:26:47 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:27:03 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:27:12 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:27:38 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:28:07 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:28:37 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:29:24 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:29:30 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:30:02 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:30:20 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:30:48 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:30:50 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:31:08 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:31:39 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:31:40 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
